kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_impact,koi_duration,koi_ingress,koi_dor
K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,4.125543472,1487.3,4.43,1243.0,565.35,6174.0,1.103,1.162,4.417,1,323.0,9.387555,94.70979,0.597,3.1744,,8.45
K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,2.816504904,16813.7,12.21,1219.0,521.13,5532.0,0.955,0.941,4.452,1,474.0,104.64681,1328.3038,0.105,2.50587,,9.571
K00768.01,,FALSE POSITIVE,FALSE POSITIVE,33.93373447,8503.7,7.34,430.0,8.11,5040.0,0.705,0.782,4.628,1,31.0,52.86124,193.4089,0.812,14.561,,13.12
K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,3.689920099,426.7,1.89,1147.0,408.99,5880.0,0.917,1.01,4.518,1,360.0,4.8750124,31.786789,0.151,2.6557,,10.71
K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,4.431238488,1010.9,3.25,1104.0,351.23,5714.0,1.015,1.007,4.428,3,302.0,6.815371,58.259056,0.405,3.15,,10.19
K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,11.37936986,1023.5,3.95,806.0,99.68,5714.0,1.015,1.007,4.428,3,109.0,5.2506146,29.930164,0.911,2.6255,,16.31
K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,26.39432897,1510.9,3.07,489.0,13.49,5129.0,0.763,0.846,4.595,1,51.0,8.917681,41.269753,0.602,3.573,,47.7
K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,13.57078281,511.7,2.64,785.0,89.61,5854.0,1.012,0.951,4.406,4,101.0,18.771214,76.76887,0.866,3.3539,,16.93
K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,7.12594387,192.4,1.79,997.0,233.31,5779.0,1.087,0.941,4.339,3,181.0,6.1814723,39.793564,0.898,3.0014,,8.62
K00774.01,,FALSE POSITIVE,FALSE POSITIVE,7.442652004,24446.2,15.03,967.0,206.78,6108.0,0.956,0.981,4.469,1,180.0,115.64278,1044.7283,0.137,2.3078,,27.99
K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,16.38489988,1127.1,2.0,433.0,8.35,4126.0,0.615,0.633,4.661,3,65.0,6.419572,28.122635,0.001,3.0249,,42.62
K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,7.8774163,1306.1,2.16,553.0,22.18,4126.0,0.615,0.633,4.661,3,135.0,10.036489,41.450657,0.041,2.0805,,29.84
K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,36.4454001,1122.3,1.99,332.0,2.88,4126.0,0.615,0.633,4.661,3,27.0,5.9903665,19.803268,0.028,4.007,,71.53
K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,3.728732147,5226.5,6.02,1023.0,258.34,5497.0,0.809,0.907,4.577,1,357.0,28.264866,360.1958,0.558,2.683,,9.7
K00777.01,,CANDIDATE,CANDIDATE,40.4195037,6256.0,7.51,467.0,11.29,5446.0,0.781,0.714,4.507,1,36.0,22.598503,94.071846,0.911,3.362,,54.7
K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,2.243380573,821.7,1.99,822.0,107.6,4149.0,0.564,0.578,4.698,1,472.0,4.251499,30.578562,0.915,1.1196,,7.38
K00779.01,,FALSE POSITIVE,FALSE POSITIVE,10.405998015,14488.8,11.23,833.0,113.94,5746.0,0.924,0.77,4.393,1,117.0,97.352005,691.1691,0.324,6.5036,,13.012
K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,2.337437946,971.2,2.34,1070.0,311.16,5005.0,0.765,0.85,4.595,2,578.0,6.0310416,63.58795,0.28,1.9982,,8.86
K00780.02,,CANDIDATE,CANDIDATE,7.2406612,556.4,19.45,734.0,68.63,5005.0,0.765,0.85,4.595,2,168.0,3.2751372,9.1666,1.198,0.558,,28.8
K00115.03,,CANDIDATE,CANDIDATE,3.43591631,23.2,0.55,1272.0,617.61,5779.0,1.087,0.941,4.339,3,357.0,3.8943021,7.4337807,0.624,3.133,,6.65
K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,11.59822233,2804.5,2.65,396.0,5.82,3688.0,0.473,0.503,4.79,1,115.0,11.461336,62.376225,0.679,2.5237,,28.2
K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,6.575315881,2793.3,5.31,1015.0,251.38,5992.0,0.989,0.927,4.415,1,205.0,20.537346,210.22159,0.39,4.3084,,11.37
K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,7.275040844,3001.0,4.86,833.0,113.64,5485.0,0.867,0.986,4.556,1,188.0,24.639503,234.95987,0.547,7.5377,,6.66
K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,19.27153892,1219.8,1.93,393.0,5.66,4077.0,0.56,0.576,4.702,2,67.0,6.437265,28.490973,0.031,2.7594,,55.02
K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,10.06524317,1053.3,1.91,488.0,13.43,4077.0,0.56,0.576,4.702,2,126.0,5.446764,21.658537,0.628,1.369,,45.9
K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,12.3935651,916.6,2.66,677.0,49.68,5557.0,0.75,0.832,4.603,1,107.0,5.6057496,31.608551,0.883,3.8896,,13.07
K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,43.84439721,615.2,2.87,531.0,18.77,5854.0,1.012,0.951,4.406,4,29.0,16.554466,65.59482,0.852,6.802,,28.2
K00798.01,,FALSE POSITIVE,FALSE POSITIVE,3.341913228,725.3,21.55,1032.0,268.67,5295.0,0.811,0.853,4.551,1,780.0,5.0937037,32.72262,1.213,3.813,,2.19
K00799.01,,FALSE POSITIVE,FALSE POSITIVE,1.626630225,1620.6,32.43,1547.0,1355.88,5735.0,0.973,0.889,4.41,1,664.0,5.3061833,45.885685,1.26,2.1145,,2.38
K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,2.711504086,837.5,3.12,1420.0,960.79,6214.0,1.076,1.169,4.442,2,494.0,6.3430967,48.726124,0.023,3.0099,,7.088
K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,7.21203748,950.4,3.32,1025.0,260.58,6214.0,1.076,1.169,4.442,2,165.0,6.1683164,40.04205,0.012,4.0491,,14.003
K00789.01,,FALSE POSITIVE,FALSE POSITIVE,14.1798187,459.9,1.88,711.0,60.35,5799.0,0.878,0.975,4.539,1,,,,0.1601,2.505,,43.54
K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,8.47237911,1123.5,2.59,751.0,75.44,5354.0,0.788,0.884,4.587,2,159.0,5.7419868,39.867977,0.022,2.7245,,24.47
K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,60.4189369,931.3,2.36,390.0,5.49,5354.0,0.788,0.884,4.587,2,22.0,6.335456,15.139797,0.094,5.039,,93.71
K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,12.611904345,6105.6,7.4,753.0,76.15,5795.0,0.919,0.992,4.508,1,104.0,31.536423,207.6196,0.55,5.1497,,17.27
K00792.01,,FALSE POSITIVE,FALSE POSITIVE,1.433769925,1976.3,46.58,1920.0,3209.29,6017.0,1.339,1.083,4.22,1,481.0,10.709492,67.78838,1.268,1.8868,,2.46
K00793.01,,FALSE POSITIVE,FALSE POSITIVE,10.31872301,871.7,28.59,876.0,139.26,5927.0,1.06,1.05,4.409,1,130.0,9.854863,34.775192,1.215,3.836,,5.92
K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,2.539183147,382.1,2.06,1332.0,743.09,5519.0,1.062,0.921,4.35,1,528.0,4.680462,34.037075,0.238,2.4282,,7.93
K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,6.770300385,1304.0,2.77,812.0,102.87,5653.0,0.679,0.767,4.656,1,200.0,6.5691905,43.840405,0.838,2.0844,,15.21
K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0.444291966,10967.4,27.51,1836.0,2706.26,5255.0,0.636,0.709,4.678,1,1466.0,40.64358,277.1132,1.258,2.0792,,1.641
K00797.01,,CANDIDATE,CANDIDATE,10.181584004,5741.1,7.73,812.0,102.91,5988.0,0.836,0.885,4.541,1,129.0,27.099031,173.09894,0.92,3.5089,,12.776
K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,20.06036336,1494.7,1.96,361.0,4.0,3950.0,0.493,0.502,4.754,4,59.0,7.1802754,27.241827,0.556,3.3203,,40.4
K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,46.1842039,1394.7,1.83,273.0,1.32,3950.0,0.493,0.502,4.754,4,25.0,6.2605453,18.020908,0.013,4.758,,76.67
K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,23.9800854,104.0,1.31,649.0,41.94,5854.0,1.012,0.951,4.406,4,56.0,4.1784496,10.87813,0.95,5.351,,11.98
K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,7.82502168,520.8,1.2,494.0,14.05,3950.0,0.493,0.502,4.754,4,154.0,3.8379083,12.582854,0.708,2.186,,20.2
K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,3.895936525,8544.8,7.34,1005.0,241.62,5557.0,0.774,0.866,4.592,1,275.0,35.58241,375.5263,0.524,2.3111,,12.29
K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,22.36646466,986.8,2.32,536.0,19.45,5395.0,0.734,0.821,4.615,1,48.0,6.2514634,25.599396,0.4,5.228,,31.0
K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,1.625522174,7969.0,9.73,1579.0,1467.41,5539.0,1.106,0.935,4.322,1,657.0,43.135384,712.5235,0.076,2.38963,,5.6364
K00802.01,,CANDIDATE,CANDIDATE,19.620346923,21724.6,13.6,643.0,40.39,5710.0,0.905,0.928,4.492,1,52.0,73.60154,353.8584,0.458,2.0038,,77.9
K00803.01,,FALSE POSITIVE,FALSE POSITIVE,7.544039,322.6,17.47,838.0,116.46,5657.0,0.824,0.919,4.567,1,143.0,4.5001316,12.162734,1.175,6.222,,2.28
K00804.01,Kepler-1727 b,CONFIRMED,CANDIDATE,9.02930689,1019.8,2.57,757.0,77.75,5349.0,0.82,0.824,4.526,1,146.0,7.610865,47.37303,0.024,3.1449,,22.57
K00805.01,,FALSE POSITIVE,FALSE POSITIVE,10.328035714,16917.7,13.28,843.0,119.31,5627.0,1.024,0.874,4.359,1,114.0,76.945915,589.42316,0.281,7.7915,,10.988
K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,143.2063047,10565.7,8.9,308.0,2.14,5485.0,0.867,0.986,4.556,5,9.0,45.13809,115.57215,0.379,8.9302,,125.8
K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,6.164876,55.8,0.79,1021.0,256.35,5854.0,1.012,0.951,4.406,4,207.0,2.6950479,11.552998,0.646,3.262,,11.19
K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,60.32494216,20280.4,12.19,411.0,6.77,5485.0,0.867,0.986,4.556,5,22.0,88.82677,323.38303,0.224,6.6188,,77.04
K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,29.1598615,488.0,1.91,524.0,17.85,5485.0,0.867,0.986,4.556,5,,,,0.3619,4.803,,44.2
K00807.01,,FALSE POSITIVE,FALSE POSITIVE,1.540397253,816.1,25.69,1470.0,1105.68,5663.0,0.915,1.034,4.53,1,842.0,7.5703845,32.004185,1.225,2.1541,,1.971
K00808.01,,FALSE POSITIVE,FALSE POSITIVE,2.99025443,589.2,1.7,918.0,168.45,4667.0,0.731,0.737,4.578,1,454.0,4.439786,35.481506,0.014,5.414,,4.349
K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,1.594745374,15044.5,11.3,1539.0,1329.42,5934.0,0.893,0.901,4.491,1,762.0,62.03516,1015.921,0.514,1.9604,,6.203
K00810.01,Kepler-1728 b,CONFIRMED,CANDIDATE,4.783002698,1008.7,2.5,886.0,145.48,5170.0,0.807,0.891,4.574,1,281.0,7.252221,57.638233,0.003,2.335,,16.102
K00811.01,Kepler-687 b,CONFIRMED,CANDIDATE,20.50588921,2105.5,3.41,518.0,17.06,4905.0,0.761,0.739,4.544,1,69.0,12.827003,70.729904,0.26,4.0595,,38.91
K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,3.340218842,1632.6,2.03,656.0,43.73,3950.0,0.493,0.502,4.754,4,398.0,8.777286,58.181076,0.466,1.9104,,12.4
K00828.01,,FALSE POSITIVE,FALSE POSITIVE,2.507089906,1339.2,30.26,1326.0,730.47,5926.0,0.939,1.03,4.506,1,408.0,7.337525,50.679256,1.255,2.0067,,3.32
K00829.01,Kepler-53 b,CONFIRMED,CANDIDATE,18.64932728,893.6,3.12,701.0,57.13,5775.0,1.053,1.026,4.405,3,71.0,7.871079,36.000114,0.08,4.4056,,33.12
K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,4.90144976,140.7,1.7,1262.0,598.74,5847.0,1.402,1.113,4.191,4,193.0,5.743281,33.185894,0.529,4.1654,,7.78
K00829.02,Kepler-53 d,CONFIRMED,CANDIDATE,9.75192101,418.0,2.76,870.0,135.66,5775.0,1.053,1.026,4.405,3,132.0,4.4869766,24.258644,0.949,4.793,,6.05
K00829.03,Kepler-53 c,CONFIRMED,CANDIDATE,38.5576546,993.0,4.02,550.0,21.71,5775.0,1.053,1.026,4.405,3,37.0,7.5526104,32.640865,0.911,5.794,,24.9
K00830.01,Kepler-428 b,CONFIRMED,CANDIDATE,3.525632539,22335.0,11.58,975.0,213.12,5150.0,0.793,0.855,4.572,1,382.0,162.61552,2078.4102,0.12,2.59959,,11.699
K00815.01,,CANDIDATE,CANDIDATE,34.84398644,4523.6,7.61,511.0,16.1,5509.0,0.871,0.84,4.482,1,40.0,15.928789,75.6448,0.934,2.9315,,49.31
K00816.01,Kepler-690 b,CONFIRMED,CANDIDATE,7.748094239,2472.1,5.52,964.0,204.39,5973.0,1.085,1.181,4.439,1,133.0,13.618479,106.29421,0.517,3.5957,,15.0
K00817.01,Kepler-236 c,CONFIRMED,CANDIDATE,23.96793669,1182.3,1.8,329.0,2.77,3747.0,0.524,0.536,4.728,2,43.0,5.809559,22.27284,0.416,3.827,,45.2
K00817.02,Kepler-236 b,CONFIRMED,CANDIDATE,8.29561738,824.3,1.82,469.0,11.39,3747.0,0.524,0.536,4.728,2,119.0,3.484774,15.260293,0.888,1.3421,,24.8
K00818.01,Kepler-691 b,CONFIRMED,CANDIDATE,8.11437482,1558.0,2.1,460.0,10.55,3692.0,0.517,0.553,4.753,1,167.0,6.7459397,45.585175,0.573,2.2736,,23.58
K00819.01,,FALSE POSITIVE,FALSE POSITIVE,38.036729482,82871.6,27.5,500.0,14.81,5575.0,0.932,1.051,4.521,1,26.0,456.11786,1785.2972,0.501,4.34617,,78.037
K00820.01,,CANDIDATE,CANDIDATE,4.64090031,2450.6,30.09,1155.0,421.08,6463.0,0.826,0.786,4.5,1,227.0,14.098484,135.01852,1.28,35.512,,1.354
K00011.01,,FALSE POSITIVE,FALSE POSITIVE,3.747838198,616.0,13.65,1031.0,266.76,5514.0,0.826,0.926,4.569,1,358.0,14.434505,98.60031,1.121,5.0642,,1.868
K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,14.74914825,430.2,2.89,874.0,137.91,5847.0,1.402,1.113,4.191,4,72.0,11.163704,66.187065,0.173,6.0995,,18.56
K00821.01,Kepler-692 b,CONFIRMED,CANDIDATE,21.81295996,1175.4,3.38,639.0,39.33,5601.0,0.999,0.934,4.41,1,45.0,6.4162097,31.21894,0.053,4.3791,,39.183
K00822.01,,FALSE POSITIVE,FALSE POSITIVE,7.91936937,15148.1,10.34,814.0,104.0,5690.0,0.776,0.852,4.588,1,132.0,47.533234,385.42834,0.733,3.3148,,15.534
K00823.01,,CANDIDATE,CANDIDATE,1.028436523,8098.0,72.77,1947.0,3400.48,6228.0,0.99,0.959,4.428,1,,,,1.5734,1.8606,,2.891
K00824.01,Kepler-693 b,CONFIRMED,CANDIDATE,15.37562369,15337.0,11.01,600.0,30.54,4986.0,0.833,0.793,4.496,1,50.0,33.115784,170.02856,0.692,3.3169,,31.24
K00825.01,Kepler-237 c,CONFIRMED,CANDIDATE,8.10363271,887.9,2.11,687.0,52.82,4861.0,0.732,0.733,4.574,2,131.0,7.0046763,33.637074,0.047,3.161,,20.09
K00825.02,Kepler-237 b,CONFIRMED,CANDIDATE,4.71510843,417.5,1.46,823.0,108.84,4861.0,0.732,0.733,4.574,2,208.0,3.765065,16.489346,0.258,2.506,,14.18
K00826.01,Kepler-694 b,CONFIRMED,CANDIDATE,6.365839713,780.7,2.44,914.0,165.33,5776.0,0.849,0.939,4.554,1,216.0,7.331596,58.17086,0.524,2.9721,,14.46
K00827.01,,FALSE POSITIVE,FALSE POSITIVE,5.97581754,962.4,3.86,1047.0,284.25,6108.0,0.997,1.072,4.471,1,181.0,7.281016,42.549767,0.941,3.065,,6.53
K00839.01,,FALSE POSITIVE,FALSE POSITIVE,2.446737317,1177.9,26.25,1261.0,597.19,5764.0,0.863,0.959,4.548,1,552.0,25.09719,98.78201,1.241,4.7211,,1.749
K00840.01,Kepler-695 b,CONFIRMED,CANDIDATE,3.04033046,10858.8,8.99,1021.0,257.29,5035.0,0.791,0.754,4.519,1,440.0,50.342957,653.36066,0.736,1.8411,,10.41
K00841.01,Kepler-27 b,CONFIRMED,CANDIDATE,15.33528675,3081.4,5.0,610.0,32.67,5251.0,0.817,0.926,4.581,5,85.0,13.146613,84.09906,0.773,3.897,,21.65
K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,7.95825328,50.0,1.06,1074.0,314.15,5847.0,1.402,1.113,4.191,4,109.0,2.978392,10.168395,0.706,4.377,,10.01
K00841.02,Kepler-27 c,CONFIRMED,CANDIDATE,31.33046135,5073.8,6.5,481.0,12.61,5251.0,0.817,0.926,4.581,5,46.0,23.140947,110.02644,0.798,5.176,,33.19
K00831.01,,FALSE POSITIVE,FALSE POSITIVE,3.9043425,16228.4,12.28,1104.0,351.05,5810.0,0.898,0.989,4.526,1,275.0,110.279724,1224.3164,0.709,3.831,,6.856
K00832.01,,FALSE POSITIVE,FALSE POSITIVE,9.286358079,44791.4,17.61,796.0,95.03,5670.0,0.821,0.82,4.523,1,117.0,230.37978,1748.3405,0.377,3.49949,,23.029
K00833.01,,FALSE POSITIVE,FALSE POSITIVE,3.951405455,2453.9,31.44,1133.0,388.71,6046.0,0.869,0.953,4.539,1,272.0,13.511557,110.66481,1.276,2.1862,,5.42
